Municipio,Classificacao,Sexo,StatusNotificacao,Quantidade,DataEncerramento_Nula,DataObito_Nula
FUNDAO,Descartados,M,Encerrado,8877,0,8852
FUNDAO,Suspeito,F,Em Aberto,248,248,248
FUNDAO,Suspeito,F,Encerrado,36,0,36
FUNDAO,Suspeito,I,Em Aberto,1,1,1
FUNDAO,Suspeito,M,Em Aberto,229,229,229
FUNDAO,Suspeito,M,Encerrado,18,0,18
FUNDAO,Síndrome Gripal não Especificada,F,Em Aberto,11,11,11
FUNDAO,Síndrome Gripal não Especificada,F,Encerrado,39,0,38
FUNDAO,Síndrome Gripal não Especificada,M,Em Aberto,10,10,10
FUNDAO,Síndrome Gripal não Especificada,M,Encerrado,25,0,25
GOVERNADOR LINDENBERG,Confirmados,F,Em Aberto,2,2,2
GOVERNADOR LINDENBERG,Confirmados,F,Encerrado,3102,0,3083
GOVERNADOR LINDENBERG,Confirmados,M,Encerrado,2544,0,2528
GOVERNADOR LINDENBERG,Descartados,F,Encerrado,7197,0,7192
GOVERNADOR LINDENBERG,Descartados,M,Em Aberto,1,1,1
GOVERNADOR LINDENBERG,Descartados,M,Encerrado,5633,0,5629
GOVERNADOR LINDENBERG,Suspeito,F,Em Aberto,14,14,14
GOVERNADOR LINDENBERG,Suspeito,F,Encerrado,21,0,21
GOVERNADOR LINDENBERG,Suspeito,M,Em Aberto,12,12,12
GOVERNADOR LINDENBERG,Suspeito,M,Encerrado,17,0,17
GOVERNADOR LINDENBERG,Síndrome Gripal não Especificada,F,Encerrado,500,0,500
GOVERNADOR LINDENBERG,Síndrome Gripal não Especificada,M,Encerrado,521,0,521
GUACUI,Confirmados,F,Em Aberto,59,59,59
GUACUI,Confirmados,F,Encerrado,4495,0,4416
GUACUI,Confirmados,I,Encerrado,1,0,1
GUACUI,Confirmados,M,Em Aberto,33,33,33
GUACUI,Confirmados,M,Encerrado,3087,0,3023
GUACUI,Descartados,F,Em Aberto,59,59,59
GUACUI,Descartados,F,Encerrado,7984,0,7964
GUACUI,Descartados,I,Encerrado,2,0,2
GUACUI,Descartados,M,Em Aberto,46,46,44
GUACUI,Descartados,M,Encerrado,5140,0,5123
GUACUI,Suspeito,F,Em Aberto,41,41,41
GUACUI,Suspeito,F,Encerrado,30,0,30
GUACUI,Suspeito,M,Em Aberto,43,43,43
GUACUI,Suspeito,M,Encerrado,28,0,28
GUACUI,Síndrome Gripal não Especificada,F,Em Aberto,1,1,1
GUACUI,Síndrome Gripal não Especificada,F,Encerrado,560,0,560
GUACUI,Síndrome Gripal não Especificada,M,Encerrado,376,0,375
GUARAPARI,Confirmados,F,Em Aberto,61,61,61
GUARAPARI,Confirmados,F,Encerrado,19919,0,19652
GUARAPARI,Confirmados,I,Encerrado,1,0,1
GUARAPARI,Confirmados,M,Em Aberto,41,41,41
GUARAPARI,Confirmados,M,Encerrado,14930,0,14601
GUARAPARI,Descartados,F,Em Aberto,506,506,506
GUARAPARI,Descartados,F,Encerrado,39135,0,38995
GUARAPARI,Descartados,I,Em Aberto,1,1,1
GUARAPARI,Descartados,I,Encerrado,5,0,5
GUARAPARI,Descartados,M,Em Aberto,537,537,537
GUARAPARI,Descartados,M,Encerrado,32805,0,32650
GUARAPARI,Suspeito,F,Em Aberto,2602,2602,2602
GUARAPARI,Suspeito,F,Encerrado,2582,0,2582
GUARAPARI,Suspeito,I,Em Aberto,3,3,3
GUARAPARI,Suspeito,M,Em Aberto,2220,2220,2220
GUARAPARI,Suspeito,M,Encerrado,2273,0,2273
GUARAPARI,Síndrome Gripal não Especificada,F,Em Aberto,8,8,8
GUARAPARI,Síndrome Gripal não Especificada,F,Encerrado,2005,0,1982
GUARAPARI,Síndrome Gripal não Especificada,M,Em Aberto,11,11,11
GUARAPARI,Síndrome Gripal não Especificada,M,Encerrado,1973,0,1948
IBATIBA,Confirmados,F,Em Aberto,4,4,4
IBATIBA,Confirmados,F,Encerrado,5003,0,4940
IBATIBA,Confirmados,M,Em Aberto,1,1,1
IBATIBA,Confirmados,M,Encerrado,3642,0,3576
IBATIBA,Descartados,F,Encerrado,8096,0,8066
IBATIBA,Descartados,I,Encerrado,1,0,1
IBATIBA,Descartados,M,Encerrado,5451,0,5423
IBATIBA,Suspeito,F,Em Aberto,9,9,9
IBATIBA,Suspeito,F,Encerrado,7,0,7
IBATIBA,Suspeito,M,Em Aberto,6,6,6
IBATIBA,Suspeito,M,Encerrado,7,0,7
IBATIBA,Síndrome Gripal não Especificada,F,Encerrado,321,0,321
IBATIBA,Síndrome Gripal não Especificada,M,Encerrado,320,0,320
IBIRACU,Confirmados,F,Em Aberto,84,84,84
IBIRACU,Confirmados,F,Encerrado,3059,0,3037
IBIRACU,Confirmados,M,Em Aberto,57,57,57
IBIRACU,Confirmados,M,Encerrado,2290,0,2257
IBIRACU,Descartados,F,Em Aberto,334,334,334
IBIRACU,Descartados,F,Encerrado,7642,0,7634
IBIRACU,Descartados,I,Encerrado,1,0,1
IBIRACU,Descartados,M,Em Aberto,238,238,238
IBIRACU,Descartados,M,Encerrado,5653,0,5642
IBIRACU,Suspeito,F,Em Aberto,161,161,161
IBIRACU,Suspeito,F,Encerrado,31,0,31
IBIRACU,Suspeito,M,Em Aberto,150,150,150
IBIRACU,Suspeito,M,Encerrado,23,0,23
IBIRACU,Síndrome Gripal não Especificada,F,Em Aberto,1,1,1
IBIRACU,Síndrome Gripal não Especificada,F,Encerrado,5,0,5
IBIRACU,Síndrome Gripal não Especificada,M,Em Aberto,1,1,1
IBIRACU,Síndrome Gripal não Especificada,M,Encerrado,4,0,4
IBITIRAMA,Confirmados,F,Em Aberto,196,196,196
IBITIRAMA,Confirmados,F,Encerrado,852,0,840
IBITIRAMA,Confirmados,M,Em Aberto,136,136,136
IBITIRAMA,Confirmados,M,Encerrado,676,0,666
IBITIRAMA,Descartados,F,Em Aberto,39,39,39
IBITIRAMA,Descartados,F,Encerrado,1410,0,1405
IBITIRAMA,Descartados,M,Em Aberto,30,30,30
IBITIRAMA,Descartados,M,Encerrado,1149,0,1136
IBITIRAMA,Suspeito,F,Em Aberto,307,307,307
IBITIRAMA,Suspeito,F,Encerrado,288,0,287
IBITIRAMA,Suspeito,M,Em Aberto,250,250,250
IBITIRAMA,Suspeito,M,Encerrado,233,0,232
IBITIRAMA,Síndrome Gripal não Especificada,F,Em Aberto,2,2,2
IBITIRAMA,Síndrome Gripal não Especificada,F,Encerrado,12,0,12
IBITIRAMA,Síndrome Gripal não Especificada,M,Em Aberto,1,1,1
IBITIRAMA,Síndrome Gripal não Especificada,M,Encerrado,5,0,5
ICONHA,Confirmados,F,Em Aberto,5,5,5
ICONHA,Confirmados,F,Encerrado,3621,0,3607
ICONHA,Confirmados,M,Em Aberto,2,2,2
ICONHA,Confirmados,M,Encerrado,2865,0,2847
ICONHA,Descartados,F,Em Aberto,9,9,9
ICONHA,Descartados,F,Encerrado,6568,0,6561
ICONHA,Descartados,I,Encerrado,1,0,1
ICONHA,Descartados,M,Em Aberto,7,7,7
ICONHA,Descartados,M,Encerrado,5060,0,5045
ICONHA,Suspeito,F,Em Aberto,3,3,3
ICONHA,Suspeito,M,Em Aberto,4,4,4
ICONHA,Síndrome Gripal não Especificada,F,Encerrado,7,0,7
ICONHA,Síndrome Gripal não Especificada,M,Encerrado,8,0,8
IRUPI,Confirmados,F,Em Aberto,11,11,11
IRUPI,Confirmados,F,Encerrado,2064,0,2037
IRUPI,Confirmados,M,Em Aberto,7,7,7
IRUPI,Confirmados,M,Encerrado,1595,0,1562
IRUPI,Descartados,F,Em Aberto,14,14,14
IRUPI,Descartados,F,Encerrado,3975,0,3965
IRUPI,Descartados,M,Em Aberto,21,21,21
IRUPI,Descartados,M,Encerrado,2608,0,2598
IRUPI,Suspeito,F,Em Aberto,37,37,37
IRUPI,Suspeito,F,Encerrado,617,0,617
IRUPI,Suspeito,M,Em Aberto,41,41,41
IRUPI,Suspeito,M,Encerrado,532,0,532
IRUPI,Síndrome Gripal não Especificada,F,Encerrado,11,0,11
IRUPI,Síndrome Gripal não Especificada,M,Encerrado,2,0,2
ITAGUACU,Confirmados,F,Encerrado,3778,0,3764
ITAGUACU,Confirmados,M,Encerrado,2786,0,2764
ITAGUACU,Descartados,F,Em Aberto,8,8,8
ITAGUACU,Descartados,F,Encerrado,13052,0,13044
ITAGUACU,Descartados,I,Encerrado,2,0,2
ITAGUACU,Descartados,M,Em Aberto,4,4,4
ITAGUACU,Descartados,M,Encerrado,9032,0,9020
ITAGUACU,Suspeito,F,Em Aberto,5,5,5
ITAGUACU,Suspeito,F,Encerrado,5,0,5
ITAGUACU,Suspeito,M,Em Aberto,1,1,1
ITAGUACU,Suspeito,M,Encerrado,2,0,2
ITAGUACU,Síndrome Gripal não Especificada,F,Encerrado,175,0,174
ITAGUACU,Síndrome Gripal não Especificada,M,Encerrado,167,0,167
ITAPEMIRIM,Confirmados,F,Em Aberto,3,3,3
ITAPEMIRIM,Confirmados,F,Encerrado,6512,0,6438
ITAPEMIRIM,Confirmados,I,Encerrado,1,0,1
ITAPEMIRIM,Confirmados,M,Em Aberto,2,2,2
ITAPEMIRIM,Confirmados,M,Encerrado,4837,0,4728
ITAPEMIRIM,Descartados,F,Em Aberto,5,5,5
ITAPEMIRIM,Descartados,F,Encerrado,13465,0,13436
ITAPEMIRIM,Descartados,I,Encerrado,2,0,2
ITAPEMIRIM,Descartados,M,Em Aberto,3,3,3
ITAPEMIRIM,Descartados,M,Encerrado,9635,0,9599
ITAPEMIRIM,Suspeito,F,Em Aberto,13,13,13
ITAPEMIRIM,Suspeito,F,Encerrado,5,0,5
ITAPEMIRIM,Suspeito,M,Em Aberto,8,8,8
ITAPEMIRIM,Suspeito,M,Encerrado,9,0,8
ITAPEMIRIM,Síndrome Gripal não Especificada,F,Encerrado,13,0,13
ITAPEMIRIM,Síndrome Gripal não Especificada,M,Encerrado,10,0,10
ITARANA,Confirmados,F,Em Aberto,92,92,92
ITARANA,Confirmados,F,Encerrado,2463,0,2452
ITARANA,Confirmados,I,Encerrado,1,0,1
ITARANA,Confirmados,M,Em Aberto,66,66,66
ITARANA,Confirmados,M,Encerrado,1936,0,1916
ITARANA,Descartados,F,Em Aberto,252,252,252
ITARANA,Descartados,F,Encerrado,6805,0,6800
ITARANA,Descartados,I,Encerrado,2,0,2
ITARANA,Descartados,M,Em Aberto,246,246,246
ITARANA,Descartados,M,Encerrado,4697,0,4689
ITARANA,Suspeito,F,Em Aberto,207,207,207
ITARANA,Suspeito,F,Encerrado,278,0,278
ITARANA,Suspeito,M,Em Aberto,162,162,162
ITARANA,Suspeito,M,Encerrado,175,0,175
ITARANA,Síndrome Gripal não Especificada,F,Encerrado,9,0,9
ITARANA,Síndrome Gripal não Especificada,M,Encerrado,8,0,7
IUNA,Confirmados,F,Em Aberto,24,24,24
IUNA,Confirmados,F,Encerrado,4299,0,4259
IUNA,Confirmados,M,Em Aberto,13,13,13
IUNA,Confirmados,M,Encerrado,2938,0,2877
IUNA,Descartados,F,Em Aberto,46,46,46
IUNA,Descartados,F,Encerrado,6614,0,6598
IUNA,Descartados,I,Encerrado,2,0,2
IUNA,Descartados,M,Em Aberto,39,39,39
IUNA,Descartados,M,Encerrado,4313,0,4293
IUNA,Suspeito,F,Em Aberto,20,20,20
IUNA,Suspeito,F,Encerrado,1001,0,1001
IUNA,Suspeito,M,Em Aberto,17,17,17
IUNA,Suspeito,M,Encerrado,775,0,775
IUNA,Síndrome Gripal não Especificada,F,Em Aberto,1,1,1
IUNA,Síndrome Gripal não Especificada,F,Encerrado,278,0,278
IUNA,Síndrome Gripal não Especificada,M,Encerrado,247,0,247
JAGUARE,Confirmados,F,Em Aberto,17,17,17
JAGUARE,Confirmados,F,Encerrado,5879,0,5849
JAGUARE,Confirmados,M,Em Aberto,12,12,12
JAGUARE,Confirmados,M,Encerrado,4410,0,4371
JAGUARE,Descartados,F,Em Aberto,6,6,6
JAGUARE,Descartados,F,Encerrado,12205,0,12182
JAGUARE,Descartados,I,Encerrado,1,0,1
JAGUARE,Descartados,M,Em Aberto,2,2,2
JAGUARE,Descartados,M,Encerrado,7869,0,7841
JAGUARE,Suspeito,F,Em Aberto,15,15,15
JAGUARE,Suspeito,F,Encerrado,5,0,5
JAGUARE,Suspeito,M,Em Aberto,7,7,7
JAGUARE,Suspeito,M,Encerrado,5,0,5
JAGUARE,Síndrome Gripal não Especificada,F,Em Aberto,1,1,1
JAGUARE,Síndrome Gripal não Especificada,F,Encerrado,2449,0,2449
JAGUARE,Síndrome Gripal não Especificada,M,Encerrado,1868,0,1866
JERONIMO MONTEIRO,Confirmados,F,Em Aberto,208,208,208
JERONIMO MONTEIRO,Confirmados,F,Encerrado,2897,0,2866
JERONIMO MONTEIRO,Confirmados,M,Em Aberto,158,158,157
JERONIMO MONTEIRO,Confirmados,M,Encerrado,2291,0,2263
JERONIMO MONTEIRO,Descartados,F,Em Aberto,259,259,259
JERONIMO MONTEIRO,Descartados,F,Encerrado,11309,0,11292
JERONIMO MONTEIRO,Descartados,I,Em Aberto,2,2,2
JERONIMO MONTEIRO,Descartados,I,Encerrado,1,0,1
JERONIMO MONTEIRO,Descartados,M,Em Aberto,208,208,208
JERONIMO MONTEIRO,Descartados,M,Encerrado,8098,0,8088
JERONIMO MONTEIRO,Suspeito,F,Em Aberto,37,37,36
JERONIMO MONTEIRO,Suspeito,F,Encerrado,22,0,22
JERONIMO MONTEIRO,Suspeito,M,Em Aberto,27,27,27
JERONIMO MONTEIRO,Suspeito,M,Encerrado,25,0,25
JERONIMO MONTEIRO,Síndrome Gripal não Especificada,F,Em Aberto,12,12,12
JERONIMO MONTEIRO,Síndrome Gripal não Especificada,F,Encerrado,113,0,113
JERONIMO MONTEIRO,Síndrome Gripal não Especificada,M,Em Aberto,6,6,6
JERONIMO MONTEIRO,Síndrome Gripal não Especificada,M,Encerrado,89,0,89
JOAO NEIVA,Confirmados,F,Em Aberto,81,81,77
JOAO NEIVA,Confirmados,F,Encerrado,3914,0,3886
JOAO NEIVA,Confirmados,I,Encerrado,1,0,1
JOAO NEIVA,Confirmados,M,Em Aberto,30,30,30
JOAO NEIVA,Confirmados,M,Encerrado,3219,0,3185
JOAO NEIVA,Descartados,F,Em Aberto,148,148,148
JOAO NEIVA,Descartados,F,Encerrado,9700,0,9693
JOAO NEIVA,Descartados,M,Em Aberto,112,112,112
JOAO NEIVA,Descartados,M,Encerrado,8488,0,8483
JOAO NEIVA,Suspeito,F,Em Aberto,21,21,21
JOAO NEIVA,Suspeito,F,Encerrado,5,0,5
JOAO NEIVA,Suspeito,M,Em Aberto,21,21,21
JOAO NEIVA,Suspeito,M,Encerrado,1,0,1
JOAO NEIVA,Síndrome Gripal não Especificada,F,Em Aberto,21,21,21
JOAO NEIVA,Síndrome Gripal não Especificada,F,Encerrado,8,0,8
JOAO NEIVA,Síndrome Gripal não Especificada,M,Em Aberto,15,15,15
JOAO NEIVA,Síndrome Gripal não Especificada,M,Encerrado,9,0,9
LARANJA DA TERRA,Confirmados,F,Em Aberto,4,4,4
LARANJA DA TERRA,Confirmados,F,Encerrado,2242,0,2235
LARANJA DA TERRA,Confirmados,M,Em Aberto,2,2,2
LARANJA DA TERRA,Confirmados,M,Encerrado,1802,0,1787
LARANJA DA TERRA,Descartados,F,Em Aberto,18,18,18
LARANJA DA TERRA,Descartados,F,Encerrado,7042,0,7032
LARANJA DA TERRA,Descartados,M,Em Aberto,18,18,18
LARANJA DA TERRA,Descartados,M,Encerrado,5376,0,5363
LARANJA DA TERRA,Suspeito,F,Em Aberto,3,3,3
LARANJA DA TERRA,Suspeito,F,Encerrado,1,0,0
LARANJA DA TERRA,Suspeito,M,Em Aberto,3,3,3
LARANJA DA TERRA,Síndrome Gripal não Especificada,F,Encerrado,82,0,82
LARANJA DA TERRA,Síndrome Gripal não Especificada,M,Encerrado,55,0,55
LINHARES,Confirmados,F,Encerrado,37180,0,36948
LINHARES,Confirmados,I,Encerrado,14,0,14
LINHARES,Confirmados,M,Encerrado,28965,0,28665
LINHARES,Descartados,F,Em Aberto,2,2,2
LINHARES,Descartados,F,Encerrado,78976,0,78938
LINHARES,Descartados,I,Encerrado,45,0,45
LINHARES,Descartados,M,Em Aberto,6,6,6
LINHARES,Descartados,M,Encerrado,59144,0,59107
LINHARES,Suspeito,F,Em Aberto,3,3,3
LINHARES,Suspeito,F,Encerrado,8660,0,8660
LINHARES,Suspeito,I,Encerrado,5,0,5
LINHARES,Suspeito,M,Em Aberto,6,6,6
LINHARES,Suspeito,M,Encerrado,7973,0,7972
LINHARES,Síndrome Gripal não Especificada,F,Encerrado,2034,0,2034
LINHARES,Síndrome Gripal não Especificada,M,Encerrado,1781,0,1781
MANTENOPOLIS,Confirmados,F,Em Aberto,2,2,2
MANTENOPOLIS,Confirmados,F,Encerrado,1530,0,1495
MANTENOPOLIS,Confirmados,M,Em Aberto,2,2,2
MANTENOPOLIS,Confirmados,M,Encerrado,1137,0,1112
MANTENOPOLIS,Descartados,F,Em Aberto,3,3,3
MANTENOPOLIS,Descartados,F,Encerrado,3310,0,3301
MANTENOPOLIS,Descartados,M,Em Aberto,6,6,6
MANTENOPOLIS,Descartados,M,Encerrado,2270,0,2259
MANTENOPOLIS,Suspeito,F,Em Aberto,6,6,6
MANTENOPOLIS,Suspeito,F,Encerrado,146,0,146
MANTENOPOLIS,Suspeito,M,Em Aberto,6,6,6
MANTENOPOLIS,Suspeito,M,Encerrado,81,0,81
MANTENOPOLIS,Síndrome Gripal não Especificada,F,Encerrado,11,0,11
MANTENOPOLIS,Síndrome Gripal não Especificada,M,Encerrado,11,0,11
MARATAIZES,Confirmados,F,Em Aberto,16,16,16
MARATAIZES,Confirmados,F,Encerrado,8880,0,8778
MARATAIZES,Confirmados,I,Encerrado,1,0,1
MARATAIZES,Confirmados,M,Em Aberto,4,4,4
MARATAIZES,Confirmados,M,Encerrado,6561,0,6398
MARATAIZES,Descartados,F,Em Aberto,12,12,12
MARATAIZES,Descartados,F,Encerrado,14822,0,14785
MARATAIZES,Descartados,I,Encerrado,4,0,4
MARATAIZES,Descartados,M,Em Aberto,10,10,10
MARATAIZES,Descartados,M,Encerrado,10093,0,10050
MARATAIZES,Suspeito,F,Em Aberto,26,26,26
MARATAIZES,Suspeito,F,Encerrado,44,0,44
MARATAIZES,Suspeito,M,Em Aberto,15,15,15
MARATAIZES,Suspeito,M,Encerrado,32,0,32
MARATAIZES,Síndrome Gripal não Especificada,F,Encerrado,554,0,554
MARATAIZES,Síndrome Gripal não Especificada,M,Encerrado,394,0,394
MARECHAL FLORIANO,Confirmados,F,Encerrado,4952,0,4917
MARECHAL FLORIANO,Confirmados,M,Encerrado,3603,0,3563
MARECHAL FLORIANO,Descartados,F,Encerrado,13906,0,13886
MARECHAL FLORIANO,Descartados,I,Encerrado,2,0,2
MARECHAL FLORIANO,Descartados,M,Encerrado,9545,0,9518
MARECHAL FLORIANO,Suspeito,F,Em Aberto,8,8,8
MARECHAL FLORIANO,Suspeito,F,Encerrado,1,0,1
MARECHAL FLORIANO,Suspeito,M,Em Aberto,8,8,8
MARECHAL FLORIANO,Síndrome Gripal não Especificada,F,Em Aberto,1,1,1
MARECHAL FLORIANO,Síndrome Gripal não Especificada,F,Encerrado,12,0,12
MARECHAL FLORIANO,Síndrome Gripal não Especificada,M,Em Aberto,1,1,1
MARECHAL FLORIANO,Síndrome Gripal não Especificada,M,Encerrado,15,0,15
MARILANDIA,Confirmados,F,Em Aberto,4,4,4
MARILANDIA,Confirmados,F,Encerrado,3820,0,3807
MARILANDIA,Confirmados,I,Encerrado,1,0,1
MARILANDIA,Confirmados,M,Em Aberto,2,2,2
MARILANDIA,Confirmados,M,Encerrado,2963,0,2937
MARILANDIA,Descartados,F,Em Aberto,17,17,17
MARILANDIA,Descartados,F,Encerrado,9750,0,9746
MARILANDIA,Descartados,I,Encerrado,2,0,2
MARILANDIA,Descartados,M,Em Aberto,18,18,18
MARILANDIA,Descartados,M,Encerrado,7118,0,7114
MARILANDIA,Suspeito,F,Em Aberto,3,3,3
MARILANDIA,Suspeito,F,Encerrado,336,0,336
MARILANDIA,Suspeito,M,Em Aberto,3,3,3
MARILANDIA,Suspeito,M,Encerrado,321,0,321
MARILANDIA,Síndrome Gripal não Especificada,F,Encerrado,5,0,5
MARILANDIA,Síndrome Gripal não Especificada,M,Encerrado,4,0,4
MIMOSO DO SUL,Confirmados,F,Em Aberto,56,56,56
MIMOSO DO SUL,Confirmados,F,Encerrado,4345,0,4309
MIMOSO DO SUL,Confirmados,M,Em Aberto,36,36,36
MIMOSO DO SUL,Confirmados,M,Encerrado,3338,0,3291
MIMOSO DO SUL,Descartados,F,Em Aberto,562,562,562
MIMOSO DO SUL,Descartados,F,Encerrado,7008,0,6988
MIMOSO DO SUL,Descartados,I,Encerrado,2,0,2
MIMOSO DO SUL,Descartados,M,Em Aberto,360,360,360
MIMOSO DO SUL,Descartados,M,Encerrado,4859,0,4838
MIMOSO DO SUL,Suspeito,F,Em Aberto,438,438,438
MIMOSO DO SUL,Suspeito,F,Encerrado,20,0,20
MIMOSO DO SUL,Suspeito,M,Em Aberto,308,308,308
MIMOSO DO SUL,Suspeito,M,Encerrado,21,0,21
MIMOSO DO SUL,Síndrome Gripal não Especificada,F,Em Aberto,8,8,8
MIMOSO DO SUL,Síndrome Gripal não Especificada,F,Encerrado,577,0,577
MIMOSO DO SUL,Síndrome Gripal não Especificada,M,Em Aberto,11,11,11
MIMOSO DO SUL,Síndrome Gripal não Especificada,M,Encerrado,460,0,460
MONTANHA,Confirmados,F,Em Aberto,35,35,35
MONTANHA,Confirmados,F,Encerrado,3590,0,3547
MONTANHA,Confirmados,I,Encerrado,1,0,1
MONTANHA,Confirmados,M,Em Aberto,10,10,10
MONTANHA,Confirmados,M,Encerrado,2455,0,2413
MONTANHA,Descartados,F,Em Aberto,12,12,12
MONTANHA,Descartados,F,Encerrado,7154,0,7135
MONTANHA,Descartados,M,Em Aberto,15,15,15
MONTANHA,Descartados,M,Encerrado,4683,0,4672
MONTANHA,Suspeito,F,Em Aberto,156,156,156
MONTANHA,Suspeito,F,Encerrado,606,0,606
MONTANHA,Suspeito,M,Em Aberto,131,131,131
MONTANHA,Suspeito,M,Encerrado,471,0,471
MONTANHA,Síndrome Gripal não Especificada,F,Encerrado,70,0,70
MONTANHA,Síndrome Gripal não Especificada,M,Em Aberto,2,2,2
MONTANHA,Síndrome Gripal não Especificada,M,Encerrado,55,0,55
MUCURICI,Confirmados,F,Em Aberto,12,12,12
MUCURICI,Confirmados,F,Encerrado,1036,0,1029
MUCURICI,Confirmados,M,Em Aberto,5,5,5
MUCURICI,Confirmados,M,Encerrado,779,0,773
MUCURICI,Descartados,F,Em Aberto,53,53,53
MUCURICI,Descartados,F,Encerrado,2930,0,2924
MUCURICI,Descartados,M,Em Aberto,32,32,32
MUCURICI,Descartados,M,Encerrado,2041,0,2035
MUCURICI,Suspeito,F,Em Aberto,56,56,56
MUCURICI,Suspeito,F,Encerrado,4,0,4
MUCURICI,Suspeito,M,Em Aberto,31,31,31
MUCURICI,Suspeito,M,Encerrado,8,0,8
MUCURICI,Síndrome Gripal não Especificada,F,Encerrado,45,0,45
MUCURICI,Síndrome Gripal não Especificada,M,Em Aberto,1,1,1
MUCURICI,Síndrome Gripal não Especificada,M,Encerrado,30,0,30
MUNIZ FREIRE,Confirmados,F,Em Aberto,173,173,173
MUNIZ FREIRE,Confirmados,F,Encerrado,3187,0,3157
MUNIZ FREIRE,Confirmados,M,Em Aberto,105,105,105
MUNIZ FREIRE,Confirmados,M,Encerrado,2560,0,2526
MUNIZ FREIRE,Descartados,F,Em Aberto,41,41,40
MUNIZ FREIRE,Descartados,F,Encerrado,4616,0,4600
MUNIZ FREIRE,Descartados,M,Em Aberto,54,54,54
MUNIZ FREIRE,Descartados,M,Encerrado,3202,0,3190
MUNIZ FREIRE,Suspeito,F,Em Aberto,50,50,50
MUNIZ FREIRE,Suspeito,F,Encerrado,11,0,10
MUNIZ FREIRE,Suspeito,M,Em Aberto,55,55,55
MUNIZ FREIRE,Suspeito,M,Encerrado,3,0,3
MUNIZ FREIRE,Síndrome Gripal não Especificada,F,Encerrado,7,0,7
MUNIZ FREIRE,Síndrome Gripal não Especificada,M,Encerrado,3,0,3
MUQUI,Confirmados,F,Encerrado,3614,0,3587
MUQUI,Confirmados,M,Em Aberto,1,1,1
MUQUI,Confirmados,M,Encerrado,2775,0,2733
MUQUI,Descartados,F,Em Aberto,91,91,91
MUQUI,Descartados,F,Encerrado,7477,0,7465
MUQUI,Descartados,M,Em Aberto,43,43,42
MUQUI,Descartados,M,Encerrado,5145,0,5129
MUQUI,Suspeito,F,Em Aberto,2,2,2
MUQUI,Suspeito,F,Encerrado,1,0,1
MUQUI,Síndrome Gripal não Especificada,F,Em Aberto,6,6,6
MUQUI,Síndrome Gripal não Especificada,F,Encerrado,2069,0,2068
MUQUI,Síndrome Gripal não Especificada,M,Em Aberto,7,7,7
MUQUI,Síndrome Gripal não Especificada,M,Encerrado,1582,0,1581
NOVA VENECIA,Confirmados,F,Encerrado,10105,0,10027
NOVA VENECIA,Confirmados,M,Encerrado,7765,0,7663
NOVA VENECIA,Descartados,F,Encerrado,24234,0,24209
NOVA VENECIA,Descartados,I,Encerrado,3,0,3
NOVA VENECIA,Descartados,M,Encerrado,17485,0,17442
NOVA VENECIA,Suspeito,F,Em Aberto,1,1,1
NOVA VENECIA,Suspeito,F,Encerrado,8,0,8
NOVA VENECIA,Suspeito,M,Encerrado,5,0,5
NOVA VENECIA,Síndrome Gripal não Especificada,F,Em Aberto,2,2,2
NOVA VENECIA,Síndrome Gripal não Especificada,F,Encerrado,540,0,540
NOVA VENECIA,Síndrome Gripal não Especificada,M,Encerrado,546,0,546
PANCAS,Confirmados,F,Em Aberto,2,2,2
PANCAS,Confirmados,F,Encerrado,3625,0,3608
PANCAS,Confirmados,M,Encerrado,2733,0,2711
PANCAS,Descartados,F,Em Aberto,1,1,1
PANCAS,Descartados,F,Encerrado,4001,0,3999
PANCAS,Descartados,M,Encerrado,3107,0,3093
PANCAS,Suspeito,F,Em Aberto,2,2,2
PANCAS,Suspeito,F,Encerrado,50,0,50
PANCAS,Suspeito,M,Em Aberto,1,1,1
PANCAS,Suspeito,M,Encerrado,51,0,51
PANCAS,Síndrome Gripal não Especificada,F,Encerrado,355,0,355
PANCAS,Síndrome Gripal não Especificada,M,Encerrado,297,0,297
PEDRO CANARIO,Confirmados,F,Em Aberto,3,3,3
PEDRO CANARIO,Confirmados,F,Encerrado,4079,0,4055
PEDRO CANARIO,Confirmados,M,Em Aberto,3,3,3
PEDRO CANARIO,Confirmados,M,Encerrado,3056,0,3006
PEDRO CANARIO,Descartados,F,Em Aberto,1,1,1
PEDRO CANARIO,Descartados,F,Encerrado,14589,0,14573
PEDRO CANARIO,Descartados,M,Encerrado,11307,0,11286
PEDRO CANARIO,Suspeito,F,Em Aberto,13,13,13
PEDRO CANARIO,Suspeito,F,Encerrado,3,0,3
PEDRO CANARIO,Suspeito,M,Em Aberto,14,14,14
PEDRO CANARIO,Suspeito,M,Encerrado,1,0,1
PEDRO CANARIO,Síndrome Gripal não Especificada,F,Encerrado,274,0,274
PEDRO CANARIO,Síndrome Gripal não Especificada,M,Encerrado,271,0,271
PINHEIROS,Confirmados,F,Em Aberto,3,3,3
PINHEIROS,Confirmados,F,Encerrado,5188,0,5132
PINHEIROS,Confirmados,M,Em Aberto,2,2,2
PINHEIROS,Confirmados,M,Encerrado,3776,0,3720
PINHEIROS,Descartados,F,Em Aberto,2,2,2
PINHEIROS,Descartados,F,Encerrado,14518,0,14491
PINHEIROS,Descartados,I,Encerrado,2,0,2
